style	question	rep	output_tokens	turns	cost_usd	grade	invented_confidence
Concise	q1	1	1287	5	0.1555	correct	0
Concise	q1	2	938	4	0.1454	correct	0
Concise	q2	1	1169	8	0.1859	correct	0
Concise	q2	2	1032	7	0.1761	correct	0
Concise	q3	1	1398	7	0.1714	correct	0
Concise	q3	2	1582	8	0.1966	correct	0
jev-v2	q1	1	1410	5	0.1507	correct	0
jev-v2	q1	2	1195	4	0.1320	correct	0
jev-v2	q2	1	1985	10	0.2072	correct	0
jev-v2	q2	2	1402	7	0.1810	correct	0
jev-v2	q3	1	1757	8	0.1890	correct	0
jev-v2	q3	2	1578	7	0.1737	correct	0
jev-v1	q1	1	1101	4	0.1461	correct	0
jev-v1	q2	1	739	5	0.1427	wrong	1
jev-v1	q3	1	1501	7	0.1790	correct	1
default	q1	1	993	5	0.2641	correct	0
default	q1	2	1509	5	0.1447	correct	0
default	q2	1	1515	7	0.2605	correct	0
default	q2	2	1443	7	0.1768	correct	0
default	q3	1	2026	10	0.1930	correct	0
default	q3	2	1500	7	0.1889	correct	0
